comuna,num_incendios,area_quemada_ha,region,provincia,temporada,anio,archivo_origen,hoja
Arica,6.0,0.0,XV,Arica,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Camarones,1.0,0.01,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Putre,3.0,0.0,NAN,Parinacota,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
General Lagos,1.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Camiña,2.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Colchane,3.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Huara,3.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Calama,4.0,0.0,NAN,El Loa,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
San Pedro De Atacama,1.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Copiapó,7.0,0.0,III,Copiapó,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Tierra Amarilla,4.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Vallenar,11.0,0.0,NAN,Huasco,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Alto Del Carmen,2.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Freirina,3.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Huasco,1.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Coquimbo,10.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
La Serena,16.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Paihuano,6.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Monte Patria,7.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Ovalle,26.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Canela,1.0,0.0,NAN,Choapa,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Illapel,2.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Los Vilos,9.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Salamanca,4.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Cabildo,3.0,0.0,V,Petorca,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
La Ligua,18.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Papudo,12.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Petorca,1.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Zapallar,6.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Calle Larga,2.0,0.0,NAN,Los Andes,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Los Andes,1.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Rinconada,10.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
San Esteban,2.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Catemu,8.0,0.0,NAN,San Felipe,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Llaillay,9.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Panquehue,3.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Putaendo,5.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
San Felipe,2.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Santa Maria,5.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Hijuelas,11.0,0.0,NAN,Quillota,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Calera,12.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
La Cruz,5.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
